Date,District Name,ndvi,savi,ndre,Rainfall,Skin_Tmp,Max_Tmp,Min_Tmp,APAR,Potato_Yield,Tomato_Yield,Tomato_b_Yield,Radish_Yield,Carrot_Yield,Cabbage_Yield,Cauliflower_Yield
2020-04-12,5,0.2665,0.1704999999999999,0.1825,0.0,28.71,36.58,20.26,124.72,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-04-19,5,0.2275,0.1605,0.143,0.22,29.84,35.9,20.17,125.53,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-04-26,5,0.19725,0.1365,0.122,0.72,32.06,38.28,23.58,120.46,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-05-03,5,0.166,0.1175,0.0841666666666666,7.31,33.54,38.52,25.9,100.92,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-05-10,5,0.166,0.1168333333333333,0.0811666666666666,0.89,32.37,37.87,25.37,74.89,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-05-17,5,0.1315,0.09175,0.07075,0.0,33.34,39.72,25.01,136.41,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-05-24,5,0.11775,0.08625,0.07825,0.0,39.62,45.72,28.31,136.31,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-05-31,5,0.0813333333333333,0.0603333333333333,0.0073333333333333,11.03,31.59,33.73,24.87,90.09,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-06-07,5,0.09475,0.06375,0.02125,1.81,34.76,38.0,25.48,127.05,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-06-14,5,0.1576666666666666,0.1088333333333333,0.069,0.0,39.7,42.89,29.67,125.97,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-06-21,5,0.2106666666666666,0.12,0.0901666666666666,1.21,40.06,43.18,32.22,139.77,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-06-28,5,0.2135,0.14925,0.109,0.01,39.53,43.36,32.35,116.88,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-07-05,5,0.2219999999999999,0.1613333333333333,0.1256666666666666,11.64,35.14,37.39,30.01,124.33,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-07-12,5,0.21,0.154,0.119,32.27,32.72,34.87,28.33,83.05,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-07-19,5,0.2896666666666667,0.2066666666666666,0.1653333333333333,6.41,34.37,38.69,28.15,95.57,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-07-26,5,0.3726666666666666,0.2536666666666666,0.1916666666666666,0.1,33.8,37.51,26.51,104.88,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-08-02,5,0.38425,0.2497499999999999,0.21725,2.99,33.96,39.01,26.87,120.65,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-08-09,5,0.4589999999999999,0.306,0.296,16.59,34.05,37.4,28.73,93.05,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-08-16,5,0.433,0.312,0.265,0.0,34.0,37.95,26.89,102.57,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-08-23,5,0.539,0.358,0.329,0.33,30.15,34.08,24.91,124.98,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-08-30,5,0.315,0.219,0.184,0.14,30.08,33.61,25.65,109.48,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-09-06,5,0.3415,0.2265,0.2125,3.24,30.34,34.05,25.05,111.27,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-09-13,5,0.54225,0.36875,0.368,0.0,31.11,37.99,23.87,114.71,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-09-20,5,0.5691666666666666,0.37,0.375,0.0,31.87,39.06,25.5,109.93,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-09-27,5,0.58575,0.3712499999999999,0.377,0.0,30.9,38.58,23.18,106.0,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-10-04,5,0.576,0.3753333333333333,0.3711666666666666,0.0,28.58,37.57,21.55,104.87,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-10-11,5,0.532,0.3374999999999999,0.3451666666666667,0.0,28.45,38.38,22.23,99.83,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-10-18,5,0.3766666666666666,0.2463333333333333,0.2476666666666666,0.0,26.33,35.91,20.25,93.77,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-10-25,5,0.3743333333333333,0.2346666666666666,0.2371666666666666,0.0,24.39,34.71,16.84,70.73,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-11-01,5,0.283,0.186,0.18475,0.0,20.58,31.05,14.08,75.05,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-11-08,5,0.2475,0.1679999999999999,0.16625,0.0,20.3,31.29,15.86,56.85,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-11-15,5,0.1383333333333333,0.0923333333333333,0.0936666666666666,7.48,20.93,28.01,16.16,42.73,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-11-22,5,0.2314999999999999,0.151,0.155,0.0,14.68,24.38,9.33,59.68,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-11-29,5,0.237,0.154,0.16875,0.0,14.52,23.71,9.25,65.3,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-12-06,5,0.237,0.156,0.1616666666666666,0.0,17.65,27.29,12.8,40.45,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-12-13,5,0.25725,0.16225,0.1712499999999999,0.0,13.71,20.44,8.05,45.23,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-12-20,5,0.3276,0.214,0.2172,0.0,13.22,23.14,5.89,59.04,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-12-27,5,0.34725,0.223,0.23,0.39,13.44,23.47,5.88,45.99,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2021-01-03,5,0.363,0.2355,0.239,0.54,13.8,21.84,8.65,17.73,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-01-10,5,0.3435,0.2155,0.2145,0.0,9.98,18.05,4.12,48.21,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-01-24,5,0.495,0.343,0.347,0.0,10.79,19.99,5.51,26.45,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-01-31,5,0.61875,0.41125,0.4459999999999999,0.0,12.48,24.18,6.7,74.85,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-02-07,5,0.6353333333333334,0.4426666666666666,0.4721666666666667,0.0,13.77,24.01,6.78,79.4,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-02-14,5,0.658,0.4685,0.485,0.0,17.49,28.3,10.63,69.84,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-02-21,5,0.77125,0.54025,0.58975,0.0,18.64,29.8,12.24,82.03,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-02-28,5,0.69,0.4728333333333332,0.5181666666666667,0.0,21.65,30.4,14.74,102.07,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-03-07,5,0.70475,0.4855,0.5395,0.01,25.88,35.01,17.31,92.63,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-03-14,5,0.59825,0.4155,0.4525,0.0,25.37,33.35,16.28,100.97,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-03-21,5,0.5046666666666667,0.3376666666666666,0.334,0.0,27.88,36.23,20.69,92.0,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-03-28,5,0.44,0.2695,0.3005,0.0,28.92,38.58,19.59,111.45,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-04-04,5,0.3336666666666666,0.2123333333333333,0.2185,0.0,27.23,38.07,16.3,125.77,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-04-11,5,0.24725,0.172,0.1595,0.0,30.17,39.39,19.61,123.92,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-04-18,5,0.1706,0.1258,0.1014,0.0,30.55,37.01,19.47,128.71,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-04-25,5,0.168,0.1265,0.0983333333333333,0.0,28.55,38.54,16.96,140.09,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-05-02,5,0.1195,0.0832499999999999,0.06425,0.18,33.65,39.58,25.29,83.32,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-05-09,5,0.1025,0.07325,0.04825,0.0,34.95,40.48,24.69,112.27,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-05-16,5,0.1195,0.0865,0.0675,0.1,36.12,40.76,25.15,125.7,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-05-23,5,0.08175,0.05125,0.01025,0.07,30.9,36.05,22.44,69.48,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-05-30,5,0.1255,0.0946666666666666,0.0626666666666666,3.61,37.05,41.41,27.07,123.0,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-06-06,5,0.13175,0.09875,0.062,0.5,36.14,40.43,27.28,129.73,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-06-13,5,0.088,0.06725,0.0435,10.39,35.56,38.25,27.92,73.86,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-06-27,5,0.1704999999999999,0.1285,0.09925,0.33,36.76,40.47,28.48,125.7,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-07-04,5,0.1585,0.1185,0.0842499999999999,0.06,40.12,41.81,31.69,122.69,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-07-11,5,0.1604,0.1173999999999999,0.0782,0.31,40.22,42.58,31.28,104.12,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-07-18,5,0.2415,0.161,0.1315,4.34,36.07,40.94,29.84,81.8,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-07-25,5,0.252,0.176,0.149,0.03,35.55,39.4,28.25,119.46,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-08-08,5,0.328,0.224,0.191,2.14,30.22,33.8,26.45,107.28,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-08-15,5,0.5316666666666666,0.372,0.3413333333333333,0.0,31.39,36.48,25.68,123.25,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-08-22,5,0.5195000000000001,0.3665,0.33,7.66,29.64,33.33,25.72,63.09,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-08-29,5,0.61575,0.4355,0.43,0.15,31.87,37.5,25.21,109.73,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-09-05,5,0.622,0.4535,0.4395,1.61,29.23,32.95,23.94,95.05,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-09-19,5,0.6253333333333333,0.4386666666666666,0.4036666666666667,0.0,29.67,33.95,24.35,112.63,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-09-26,5,0.6046666666666667,0.3939999999999999,0.3866666666666666,0.02,27.74,31.9,23.47,104.78,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-10-03,5,0.342,0.2426666666666666,0.2183333333333333,0.05,28.94,34.08,25.19,103.05,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-10-10,5,0.5528000000000001,0.3576,0.3352,0.0,27.08,35.62,21.12,100.25,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-10-17,5,0.5775,0.373,0.3465,4.1,22.83,28.11,20.05,32.76,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-10-24,5,0.4495,0.2995,0.273,7.29,23.07,28.72,19.12,69.5,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-10-31,5,0.3098333333333333,0.2078333333333333,0.1966666666666666,0.0,20.33,30.58,14.14,76.18,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-11-07,5,0.1205,0.0854999999999999,0.068,0.0,19.51,29.89,14.66,61.08,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-11-14,5,0.1705,0.1108333333333333,0.106,0.0,16.87,27.73,14.01,64.66,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
2021-11-21,5,0.1676,0.1064,0.1122,0.0,16.43,27.68,10.69,65.74,25.0,10.0,0.0,24.38942307692308,17.82162162162162,6.904761904761905,14.422318125770651
