Date,ndvi,savi,ndre,District Name,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2021-09-26,0.5715,0.352,0.35650000000000004,Ambala,0.19,26.2,30.29,22.38,108.22
2021-10-03,0.358,0.242,0.226,Ambala,0.01,25.76,30.45,22.4,107.37
2021-10-10,0.547,0.346,0.3415,Ambala,0.0,24.69,31.87,20.43,105.62
2021-10-17,0.485,0.2925,0.2975,Ambala,5.24,22.22,26.65,20.37,24.47
2021-10-24,0.391,0.237,0.2535,Ambala,11.7,19.76,24.8,17.38,42.41
2021-10-31,0.357,0.21575,0.2175,Ambala,0.0,18.04,26.62,14.84,93.2
2021-11-07,0.328,0.197,0.201,Ambala,0.0,17.34,26.74,14.47,84.82
2021-11-14,0.332,0.1985,0.22,Ambala,0.0,15.91,25.76,12.87,80.14
2021-11-21,0.33175,0.199,0.21575,Ambala,0.0,16.12,26.48,12.94,76.08
2021-11-28,0.33999999999999997,0.20400000000000001,0.2125,Ambala,0.0,14.72,24.89,12.48,69.9
2021-12-05,0.27625,0.1755,0.16775,Ambala,0.18,16.16,23.06,13.07,50.68
2021-12-12,0.47250000000000003,0.27549999999999997,0.3085,Ambala,0.0,11.76,19.29,9.08,63.93
2021-12-19,0.4425,0.267,0.28900000000000003,Ambala,0.0,8.39,19.01,3.6,71.94
2021-12-26,0.379,0.23299999999999998,0.249,Ambala,0.08,11.61,17.23,9.79,25.0
2022-01-02,,,,Ambala,0.0,11.19,20.66,9.01,62.54
2022-01-09,,,,Ambala,29.88,12.42,16.65,10.48,22.91
2022-01-16,,,,Ambala,0.0,10.12,18.35,5.78,44.26
2022-01-23,,,,Ambala,26.79,8.45,11.48,7.37,10.51
2022-01-30,0.547,0.333,0.349,Ambala,0.0,11.09,19.9,7.54,74.51
2022-02-06,,,,Ambala,0.0,10.24,18.86,7.56,79.21
2022-02-13,0.625,0.38475,0.40925,Ambala,0.0,11.55,20.95,9.01,94.21
2022-02-20,0.6415,0.39349999999999996,0.4535,Ambala,0.0,13.26,21.41,8.58,101.7
2022-02-27,,,,Ambala,0.05,15.05,22.98,9.73,100.61
2022-03-06,0.617,0.38925,0.43325,Ambala,0.0,18.5,25.5,14.41,-999.0
2022-03-13,0.5894999999999999,0.374,0.41700000000000004,Ambala,0.0,23.34,32.96,17.87,-999.0
2022-03-20,0.5387500000000001,0.31675,0.34625,Ambala,0.0,28.04,36.65,20.44,-999.0
2022-03-27,0.4885,0.28500000000000003,0.3095,Ambala,0.0,25.95,37.18,17.72,-999.0
2022-04-03,0.4065,0.244,0.2545,Ambala,0.0,28.98,38.7,20.23,-999.0
2022-04-10,0.34075,0.20800000000000002,0.21025,Ambala,0.0,32.17,41.32,22.85,-999.0
2022-04-17,0.3175,0.21050000000000002,0.1805,Ambala,0.0,32.71,39.55,21.98,-999.0
2022-04-24,0.2665,0.194,0.16125,Ambala,0.0,31.9,39.27,22.94,-999.0
2022-05-01,0.248,0.1775,0.1475,Ambala,0.0,35.93,41.5,28.68,-999.0
2022-05-08,0.208,0.142,0.122,Ambala,0.0,35.05,40.55,25.08,-999.0
2022-05-15,0.26025,0.181,0.15275,Ambala,0.0,37.38,44.88,27.19,-999.0
2022-05-22,0.2615,0.1835,0.145,Ambala,0.0,32.68,38.69,23.58,-999.0
2022-05-29,0.3075,0.21150000000000002,0.192,Ambala,0.04,37.35,41.24,28.79,-999.0
2022-06-05,0.336,0.2405,0.215,Ambala,0.0,38.13,44.63,28.64,-999.0
2022-06-12,0.306,0.22099999999999997,0.197,Ambala,0.01,39.62,43.85,30.36,-999.0
2022-06-19,0.275,0.2,0.162,Ambala,0.0,36.07,39.4,25.56,-999.0
2022-06-26,0.3505,0.248,0.1985,Ambala,0.0,37.67,41.38,28.38,-999.0
2022-07-03,,,,Ambala,27.34,31.81,35.81,25.78,-999.0
2022-07-10,,,,Ambala,27.94,28.21,29.8,25.6,-999.0
2022-07-17,,,,Ambala,1.63,33.86,36.51,28.5,-999.0
2022-07-24,0.5449999999999999,0.33999999999999997,0.3155,Ambala,0.45,32.31,35.98,26.59,-999.0
2022-07-31,,,,Ambala,8.67,29.15,32.53,24.33,-999.0
2022-08-07,,,,Ambala,4.14,29.62,33.15,25.36,-999.0
2022-08-14,0.6395,0.41300000000000003,0.44199999999999995,Ambala,0.1,31.01,35.81,26.49,-999.0
2022-08-21,0.604,0.389,0.417,Ambala,0.03,31.23,36.5,25.62,-999.0
2022-08-28,,,,Ambala,1.3,31.29,35.64,25.39,-999.0
2022-09-04,0.464,0.326,0.319,Ambala,0.0,32.19,37.13,26.16,-999.0
2022-09-11,0.62675,0.42275,0.4255,Ambala,0.58,32.16,36.73,25.29,-999.0
2022-09-18,,,,Ambala,0.0,30.26,36.52,22.29,-999.0
2022-09-25,,,,Ambala,23.89,26.08,30.37,23.26,-999.0
2022-10-02,0.488,0.306,0.29,Ambala,0.0,27.01,33.73,21.55,-999.0
2022-10-09,0.515,0.312,0.301,Ambala,30.6,23.88,30.26,20.37,-999.0
2022-10-16,0.464,0.274,0.28,Ambala,0.0,23.19,31.4,19.36,-999.0
2022-10-23,0.372,0.22999999999999998,0.216,Ambala,0.0,21.16,29.75,15.23,-999.0
2022-10-30,0.362,0.2205,0.236,Ambala,0.0,19.94,29.84,16.98,-999.0
2022-11-06,0.26725,0.16125,0.15775,Ambala,0.0,21.73,28.67,17.43,-999.0
2022-11-13,,,,Ambala,0.0,18.07,27.24,13.01,-999.0
2022-11-20,0.34375,0.202,0.2115,Ambala,-999.0,-999.0,-999.0,-999.0,-999.0
2022-11-27,0.3685,0.21600000000000003,0.2365,Ambala,0.0,16.27,25.73,14.66,-999.0
2022-12-04,0.3965,0.23349999999999999,0.251,Ambala,0.0,15.3,25.76,12.74,-999.0
2018-12-16,0.48533333333333334,0.3345,0.3333333333333333,Bhiwani,0.0,12.23,22.49,5.74,59.65
2018-12-23,0.46049999999999996,0.31816666666666665,0.32016666666666665,Bhiwani,0.0,11.52,22.81,4.78,46.38
2018-12-30,0.459375,0.318,0.316,Bhiwani,0.0,11.78,23.78,5.83,55.91
2019-01-06,0.48950000000000005,0.342,0.33499999999999996,Bhiwani,2.3,11.95,18.76,8.21,35.6
2019-01-13,0.36533333333333334,0.26,0.254,Bhiwani,0.0,13.85,22.07,8.32,41.16
2019-01-20,0.5985,0.431,0.40449999999999997,Bhiwani,0.0,16.85,27.69,10.62,65.84
2019-01-27,0.5725,0.41050000000000003,0.39725,Bhiwani,0.0,9.14,18.02,2.64,61.16
2019-02-03,0.5796666666666667,0.403,0.40700000000000003,Bhiwani,0.0,12.18,21.83,4.91,46.02
2019-02-10,0.6455714285714286,0.45457142857142857,0.45914285714285713,Bhiwani,0.0,12.25,21.73,6.17,67.62
2019-02-17,0.607,0.402,0.435,Bhiwani,0.0,14.7,23.88,6.68,77.39
2019-02-24,0.5678888888888889,0.40711111111111115,0.4042222222222222,Bhiwani,0.0,16.38,26.36,8.79,94.09
2019-03-03,0.6195999999999999,0.4316,0.40599999999999997,Bhiwani,0.23,16.58,24.67,9.68,69.6
2019-03-10,0.643,0.435,0.433,Bhiwani,0.0,19.19,27.7,11.45,104.45
2019-03-17,0.529,0.379,0.35850000000000004,Bhiwani,0.0,21.84,30.03,12.35,107.89
2019-03-24,0.524875,0.34575,0.33425,Bhiwani,0.0,26.28,35.01,14.68,115.59
